2014-07-22 22:50:44 status unpacked libcap2:arm64 1:2.24-0ubuntu2
2014-07-22 22:50:44 status unpacked libcap2:arm64 1:2.24-0ubuntu2
2014-07-22 22:50:45 install libcgmanager0:arm64 <none> 0.24-0ubuntu5
2014-07-22 22:50:45 status half-installed libcgmanager0:arm64 0.24-0ubuntu5
2014-07-22 22:50:45 status unpacked libcgmanager0:arm64 0.24-0ubuntu5
2014-07-22 22:50:45 status unpacked libcgmanager0:arm64 0.24-0ubuntu5
2014-07-22 22:50:45 install libcomerr2:arm64 <none> 1.42.9-3ubuntu1
2014-07-22 22:50:45 status half-installed libcomerr2:arm64 1.42.9-3ubuntu1
2014-07-22 22:50:45 status unpacked libcomerr2:arm64 1.42.9-3ubuntu1
2014-07-22 22:50:45 status unpacked libcomerr2:arm64 1.42.9-3ubuntu1
2014-07-22 22:50:46 install libdb5.3:arm64 <none> 5.3.28-3ubuntu3
2014-07-22 22:50:46 status half-installed libdb5.3:arm64 5.3.28-3ubuntu3
2014-07-22 22:50:46 status unpacked libdb5.3:arm64 5.3.28-3ubuntu3
2014-07-22 22:50:46 status unpacked libdb5.3:arm64 5.3.28-3ubuntu3
2014-07-22 22:50:46 install libdbus-1-3:arm64 <none> 1.6.18-0ubuntu4
2014-07-22 22:50:46 status half-installed libdbus-1-3:arm64 1.6.18-0ubuntu4
2014-07-22 22:50:46 status unpacked libdbus-1-3:arm64 1.6.18-0ubuntu4
2014-07-22 22:50:46 status unpacked libdbus-1-3:arm64 1.6.18-0ubuntu4
2014-07-22 22:50:47 install libdebconfclient0:arm64 <none> 0.187ubuntu1
2014-07-22 22:50:47 status half-installed libdebconfclient0:arm64 0.187ubuntu1
2014-07-22 22:50:47 status unpacked libdebconfclient0:arm64 0.187ubuntu1
2014-07-22 22:50:47 status unpacked libdebconfclient0:arm64 0.187ubuntu1
2014-07-22 22:50:47 install libdrm2:arm64 <none> 2.4.52-1
2014-07-22 22:50:47 status half-installed libdrm2:arm64 2.4.52-1
2014-07-22 22:50:47 status unpacked libdrm2:arm64 2.4.52-1
2014-07-22 22:50:47 status unpacked libdrm2:arm64 2.4.52-1
2014-07-22 22:50:48 install libgcc1:arm64 <none> 1:4.9-20140406-0ubuntu1
2014-07-22 22:50:48 status half-installed libgcc1:arm64 1:4.9-20140406-0ubuntu1
2014-07-22 22:50:48 status unpacked libgcc1:arm64 1:4.9-20140406-0ubuntu1
2014-07-22 22:50:48 status unpacked libgcc1:arm64 1:4.9-20140406-0ubuntu1
2014-07-22 22:50:49 install libjson-c2:arm64 <none> 0.11-3ubuntu1
2014-07-22 22:50:49 status half-installed libjson-c2:arm64 0.11-3ubuntu1
2014-07-22 22:50:49 status unpacked libjson-c2:arm64 0.11-3ubuntu1
2014-07-22 22:50:49 status unpacked libjson-c2:arm64 0.11-3ubuntu1
2014-07-22 22:50:49 install libjson0:arm64 <none> 0.11-3ubuntu1
2014-07-22 22:50:49 status half-installed libjson0:arm64 0.11-3ubuntu1
2014-07-22 22:50:49 status unpacked libjson0:arm64 0.11-3ubuntu1
2014-07-22 22:50:49 status unpacked libjson0:arm64 0.11-3ubuntu1
2014-07-22 22:50:49 install libklibc:arm64 <none> 2.0.3-0ubuntu1
2014-07-22 22:50:49 status half-installed libklibc:arm64 2.0.3-0ubuntu1
2014-07-22 22:50:50 status unpacked libklibc:arm64 2.0.3-0ubuntu1
2014-07-22 22:50:50 status unpacked libklibc:arm64 2.0.3-0ubuntu1
2014-07-22 22:50:50 install libkmod2:arm64 <none> 15-0ubuntu6
2014-07-22 22:50:50 status half-installed libkmod2:arm64 15-0ubuntu6
2014-07-22 22:50:50 status unpacked libkmod2:arm64 15-0ubuntu6
2014-07-22 22:50:50 status unpacked libkmod2:arm64 15-0ubuntu6
2014-07-22 22:50:50 install liblzma5:arm64 <none> 5.1.1alpha+20120614-2ubuntu2
2014-07-22 22:50:50 status half-installed liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2014-07-22 22:50:51 status unpacked liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2014-07-22 22:50:51 status unpacked liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2014-07-22 22:50:51 install libmount1:arm64 <none> 2.20.1-5.1ubuntu20
2014-07-22 22:50:51 status half-installed libmount1:arm64 2.20.1-5.1ubuntu20
2014-07-22 22:50:51 status unpacked libmount1:arm64 2.20.1-5.1ubuntu20
2014-07-22 22:50:51 status unpacked libmount1:arm64 2.20.1-5.1ubuntu20
2014-07-22 22:50:51 install libncurses5:arm64 <none> 5.9+20140118-1ubuntu1
2014-07-22 22:50:51 status half-installed libncurses5:arm64 5.9+20140118-1ubuntu1
2014-07-22 22:50:51 status unpacked libncurses5:arm64 5.9+20140118-1ubuntu1
2014-07-22 22:50:51 status unpacked libncurses5:arm64 5.9+20140118-1ubuntu1
2014-07-22 22:50:52 install libncursesw5:arm64 <none> 5.9+20140118-1ubuntu1
2014-07-22 22:50:52 status half-installed libncursesw5:arm64 5.9+20140118-1ubuntu1
2014-07-22 22:50:52 status unpacked libncursesw5:arm64 5.9+20140118-1ubuntu1
2014-07-22 22:50:52 status unpacked libncursesw5:arm64 5.9+20140118-1ubuntu1
2014-07-22 22:50:52 install libnih-dbus1:arm64 <none> 1.0.3-4ubuntu25
2014-07-22 22:50:52 status half-installed libnih-dbus1:arm64 1.0.3-4ubuntu25
2014-07-22 22:50:52 status unpacked libnih-dbus1:arm64 1.0.3-4ubuntu25
2014-07-22 22:50:52 status unpacked libnih-dbus1:arm64 1.0.3-4ubuntu25
2014-07-22 22:50:53 install libnih1:arm64 <none> 1.0.3-4ubuntu25
2014-07-22 22:50:53 status half-installed libnih1:arm64 1.0.3-4ubuntu25
2014-07-22 22:50:53 status unpacked libnih1:arm64 1.0.3-4ubuntu25
